,correlation,difference,fraction receiving evidence,n_agents,n_evidence,n_iterations,risk,trust
0,0.42920627477933043,0.10666666666666663,0.1,50,5,50,0.0,0.0
1,0.549262674747461,0.1338095238095237,0.1,50,5,50,0.0,0.0
2,0.8021310550448914,0.1947619047619046,0.1,50,5,50,0.0,0.0
3,0.5099500113714669,0.05333333333333327,0.1,50,5,50,0.0,0.0
4,0.5008289779487942,0.09666666666666664,0.1,50,5,50,0.3,0.3
5,0.8552350451002534,0.15168831168831165,0.1,50,5,50,0.3,0.3
6,0.47301643862040516,0.07666666666666659,0.1,50,5,50,0.3,0.3
7,0.43641935451481206,0.14428571428571416,0.1,50,5,50,0.3,0.3
8,0.6189443665581958,0.12380952380952372,0.1,50,5,50,0.5,0.5
9,0.24521397913155588,0.18121212121212113,0.1,50,5,50,0.5,0.5
10,-0.03229243426876646,0.27142857142857135,0.1,50,5,50,0.5,0.5
11,0.14736663727314947,0.2242857142857142,0.1,50,5,50,0.5,0.5
12,0.5169109384035259,0.15047619047619043,0.1,50,5,50,0.7,0.7
13,-0.7107237395947702,0.31835497835497834,0.1,50,5,50,0.7,0.7
14,0.5563778011138715,0.1850216450216449,0.1,50,5,50,0.7,0.7
15,0.19469425161007883,0.2209523809523809,0.1,50,5,50,0.7,0.7
16,0.36248952261543227,0.09333333333333331,0.1,50,5,50,1.0,1.0
17,0.24699680465001886,0.30476190476190473,0.1,50,5,50,1.0,1.0
18,-0.1284352817272757,0.07666666666666681,0.1,50,5,50,1.0,1.0
19,0.1936229588749949,0.2138095238095238,0.1,50,5,50,1.0,1.0
20,0.8505262887980073,0.219090909090909,0.25,50,5,50,0.0,0.0
21,0.5043129101995748,0.11380952380952374,0.25,50,5,50,0.0,0.0
22,0.6228082429814855,0.1633333333333333,0.25,50,5,50,0.0,0.0
23,0.6840445405148355,0.1104761904761904,0.25,50,5,50,0.0,0.0
24,0.781480288270438,0.04999999999999997,0.25,50,5,50,0.3,0.3
25,0.8825068596665372,0.14168831168831164,0.25,50,5,50,0.3,0.3
26,0.6863442440954842,0.1204761904761904,0.25,50,5,50,0.3,0.3
27,0.7723935858606826,0.08333333333333333,0.25,50,5,50,0.3,0.3
28,0.5081076300036921,0.11380952380952382,0.25,50,5,50,0.5,0.5
29,0.33284867757397074,0.12000000000000004,0.25,50,5,50,0.5,0.5
30,0.7836106989680337,0.10761904761904746,0.25,50,5,50,0.5,0.5
31,0.7049438269494536,0.1504761904761904,0.25,50,5,50,0.5,0.5
32,0.5771469351348543,0.25142857142857133,0.25,50,5,50,0.7,0.7
33,0.5521331071104671,0.15095238095238092,0.25,50,5,50,0.7,0.7
34,0.7083378530121025,0.17047619047619045,0.25,50,5,50,0.7,0.7
35,0.6924212292686045,0.14047619047619042,0.25,50,5,50,0.7,0.7
36,0.6952916057902655,0.04714285714285699,0.25,50,5,50,1.0,1.0
37,-0.3602683241320183,0.11000000000000008,0.25,50,5,50,1.0,1.0
38,0.5434369223647342,0.09999999999999996,0.25,50,5,50,1.0,1.0
39,0.07391272534347126,0.220952380952381,0.25,50,5,50,1.0,1.0
40,0.7600040248084755,0.13380952380952374,0.33,50,5,50,0.0,0.0
41,0.6404620215293556,0.22428571428571423,0.33,50,5,50,0.0,0.0
42,0.8930075979558243,0.1483549783549782,0.33,50,5,50,0.0,0.0
43,0.773526569170405,0.16835497835497826,0.33,50,5,50,0.0,0.0
44,0.8614105123091195,0.07999999999999996,0.33,50,5,50,0.3,0.3
45,0.7249513893786964,0.06333333333333324,0.33,50,5,50,0.3,0.3
46,0.8816486326371421,0.07714285714285703,0.33,50,5,50,0.3,0.3
47,0.8581764689594058,0.17502164502164488,0.33,50,5,50,0.3,0.3
48,0.8573343044692147,0.15835497835497825,0.33,50,5,50,0.5,0.5
49,0.44865456064929926,0.14047619047619042,0.33,50,5,50,0.5,0.5
50,0.5181218487663015,0.10380952380952373,0.33,50,5,50,0.5,0.5
51,0.8707376055030703,0.0976190476190475,0.33,50,5,50,0.5,0.5
52,0.49013770536778106,0.036666666666666625,0.33,50,5,50,0.7,0.7
53,0.4981755418948362,0.06666666666666658,0.33,50,5,50,0.7,0.7
54,0.7037447393101358,0.16380952380952374,0.33,50,5,50,0.7,0.7
55,0.245522402330932,0.07666666666666667,0.33,50,5,50,0.7,0.7
56,0.5833999269769783,0.08714285714285702,0.33,50,5,50,1.0,1.0
57,0.7513393439812396,0.10714285714285714,0.33,50,5,50,1.0,1.0
58,0.5128172654378682,0.1500000000000001,0.33,50,5,50,1.0,1.0
59,0.5970806417549359,0.11831168831168863,0.33,50,5,50,1.0,1.0
60,0.9315608155755751,0.12714285714285709,0.5,50,5,50,0.0,0.0
61,0.8743532685078909,0.10380952380952373,0.5,50,5,50,0.0,0.0
62,0.9346002736897546,0.10168831168831162,0.5,50,5,50,0.0,0.0
63,0.8641619912202597,0.05999999999999998,0.5,50,5,50,0.0,0.0
64,0.9523814058896828,0.11428571428571417,0.5,50,5,50,0.3,0.3
65,0.870087988042587,0.07333333333333326,0.5,50,5,50,0.3,0.3
66,0.8471937828925379,0.0466666666666666,0.5,50,5,50,0.3,0.3
67,0.9269354594546483,0.0604761904761904,0.5,50,5,50,0.3,0.3
68,0.6240694286448173,0.07787878787878781,0.5,50,5,50,0.5,0.5
69,0.8235365487017859,0.036666666666666646,0.5,50,5,50,0.5,0.5
70,0.9205696987317028,0.1083549783549783,0.5,50,5,50,0.5,0.5
71,0.9438644796265564,0.08809523809523785,0.5,50,5,50,0.5,0.5
72,0.7028530536303456,0.07666666666666662,0.5,50,5,50,0.7,0.7
73,0.8683827875408916,0.08380952380952378,0.5,50,5,50,0.7,0.7
74,0.5048352609649546,0.09666666666666679,0.5,50,5,50,0.7,0.7
75,0.8195464935075991,0.07333333333333335,0.5,50,5,50,0.7,0.7
76,0.7199985941543398,0.06666666666666671,0.5,50,5,50,1.0,1.0
77,0.7555849868926309,0.11285714285714303,0.5,50,5,50,1.0,1.0
78,0.8546144081790806,0.053333333333333344,0.5,50,5,50,1.0,1.0
79,0.45378105385663164,0.1338095238095239,0.5,50,5,50,1.0,1.0
80,0.9400998191927356,0.10714285714285705,0.75,50,5,50,0.0,0.0
81,0.9156141545768097,0.09047619047619038,0.75,50,5,50,0.0,0.0
82,0.8982114672946692,0.08121212121212111,0.75,50,5,50,0.0,0.0
83,0.9599049557944958,0.0704761904761904,0.75,50,5,50,0.0,0.0
84,0.9421386719927094,0.1038095238095238,0.75,50,5,50,0.3,0.3
85,0.8662543721242332,0.030476190476190306,0.75,50,5,50,0.3,0.3
86,0.8959468338470953,0.06666666666666676,0.75,50,5,50,0.3,0.3
87,0.846893806692124,0.05380952380952372,0.75,50,5,50,0.3,0.3
88,0.8296594012773207,0.1204761904761904,0.75,50,5,50,0.5,0.5
89,0.935349062678207,0.033809523809523734,0.75,50,5,50,0.5,0.5
90,0.840315473229562,0.08714285714285723,0.75,50,5,50,0.5,0.5
91,0.6349865985475918,0.07666666666666662,0.75,50,5,50,0.5,0.5
92,0.9147152425499302,0.04168831168831144,0.75,50,5,50,0.7,0.7
93,0.9472886953639647,0.08831168831168867,0.75,50,5,50,0.7,0.7
94,0.632239705426934,0.12666666666666665,0.75,50,5,50,0.7,0.7
95,0.8949088625707188,0.05095238095238084,0.75,50,5,50,0.7,0.7
96,0.6830261375285659,0.04047619047619044,0.75,50,5,50,1.0,1.0
97,0.5965261694175907,0.15904761904761935,0.75,50,5,50,1.0,1.0
98,0.6894257717269198,0.137575757575758,0.75,50,5,50,1.0,1.0
99,0.49198731277450697,0.06333333333333348,0.75,50,5,50,1.0,1.0
100,0.5367534046939108,0.2741369283637323,0.1,50,10,50,0.0,0.0
101,0.3613009874128587,0.023333333333333428,0.1,50,10,50,0.0,0.0
102,0.6657257807324677,0.09487179487179481,0.1,50,10,50,0.0,0.0
103,0.7147383292522688,0.06743589743589747,0.1,50,10,50,0.0,0.0
104,0.669102810096008,0.10487179487179472,0.1,50,10,50,0.3,0.3
105,0.492491863297938,0.2855510198775367,0.1,50,10,50,0.3,0.3
106,0.47130732844743656,0.16153846153846155,0.1,50,10,50,0.3,0.3
107,0.5781289454761956,0.2146364018495166,0.1,50,10,50,0.3,0.3
108,0.7511776783463011,0.260803595030399,0.1,50,10,50,0.5,0.5
109,0.13582059785336806,0.24130306851618322,0.1,50,10,50,0.5,0.5
110,0.6037702393791332,0.22003436426116832,0.1,50,10,50,0.5,0.5
111,0.47576894457435914,0.2323540695771882,0.1,50,10,50,0.5,0.5
112,0.49047414741558387,0.12153846153846147,0.1,50,10,50,0.7,0.7
113,0.40432847342368544,0.19463640184951658,0.1,50,10,50,0.7,0.7
114,0.29543269835329017,0.19720050441361914,0.1,50,10,50,0.7,0.7
115,0.468502027685775,0.13410256410256408,0.1,50,10,50,0.7,0.7
116,0.41301850534071943,0.22911974623314832,0.1,50,10,50,1.0,1.0
117,-0.011320034765277173,0.16655564366904557,0.1,50,10,50,1.0,1.0
118,0.3365351168970025,0.18835051546391757,0.1,50,10,50,1.0,1.0
119,0.5450786529338346,0.1567010309278349,0.1,50,10,50,1.0,1.0
120,0.8758269228483009,0.23888435321086998,0.25,50,10,50,0.0,0.0
121,0.8097345877022653,0.1772005044136191,0.25,50,10,50,0.0,0.0
122,0.8148338272527885,0.24993535427187494,0.25,50,10,50,0.0,0.0
123,0.5744701965650288,0.2000343642611683,0.25,50,10,50,0.0,0.0
124,0.8231728515624891,0.07501718213058413,0.25,50,10,50,0.3,0.3
125,0.8827869840328217,0.14413692836373238,0.25,50,10,50,0.3,0.3
126,0.7713904874249025,0.17386717108028582,0.25,50,10,50,0.3,0.3
127,0.8902355392800891,0.16796973518284974,0.25,50,10,50,0.3,0.3
128,0.88549656654197,0.2213030685161832,0.25,50,10,50,0.5,0.5
129,0.9199265428760777,0.12053383774695237,0.25,50,10,50,0.5,0.5
130,0.8693030992847123,0.1274702616970656,0.25,50,10,50,0.5,0.5
131,0.6907250038248613,0.15501718213058432,0.25,50,10,50,0.5,0.5
132,0.6650291310033879,0.09820512820512818,0.25,50,10,50,0.7,0.7
133,0.5150391655469891,0.18988897700237897,0.25,50,10,50,0.7,0.7
134,0.36761207107733357,0.22413692836373236,0.25,50,10,50,0.7,0.7
135,0.8619855007588347,0.12413692836373229,0.25,50,10,50,0.7,0.7
136,0.8869406921037147,0.1797989712388899,0.25,50,10,50,1.0,1.0
137,0.5666568131297348,0.16578641289981486,0.25,50,10,50,1.0,1.0
138,0.6735849914877328,0.05754692043351859,0.25,50,10,50,1.0,1.0
139,0.4190952315612857,0.15076923076923085,0.25,50,10,50,1.0,1.0
140,0.9165789592787584,0.1282051282051282,0.33,50,10,50,0.0,0.0
141,0.8836591900881784,0.22463640184951653,0.33,50,10,50,0.0,0.0
142,0.694919113347146,0.17811512244163916,0.33,50,10,50,0.0,0.0
143,0.7267447776497079,0.1672005044136191,0.33,50,10,50,0.0,0.0
