,n_agents,n_iterations,n_evidence,fraction receiving evidence,trust,risk,difference,correlation
0,50,100,20,0.25,0.0,1,0.21526982167796194,0.7833718236847527
1,50,100,20,0.25,0.5,1,0.17857219728034843,0.7217188256242477
2,50,100,20,0.25,1.0,1,0.12306056611692025,0.6608728226438765
3,50,100,20,0.5,0.0,1,0.13886159662572412,0.9016098195146222
4,50,100,20,0.5,0.5,1,0.10505616553156104,0.8319475765202492
5,50,100,20,0.5,1.0,1,0.1988461320709607,0.6748571273693478
6,50,100,20,0.75,0.0,1,0.06835629175522928,0.9273062348599709
7,50,100,20,0.75,0.5,1,0.10218934858972638,0.9041884115087426
8,50,100,20,0.75,1.0,1,0.12370273044696747,0.8195079850836368
9,50,200,20,0.25,0.0,1,0.20860441366405488,0.7209843647330225
10,50,200,20,0.25,0.5,1,0.15638003097195363,0.7271321515311334
11,50,200,20,0.25,1.0,1,0.1390007037197324,0.6716958777728922
12,50,200,20,0.5,0.0,1,0.13272920132191715,0.8480204368105269
13,50,200,20,0.5,0.5,1,0.08051897612779886,0.863055487845333
14,50,200,20,0.5,1.0,1,0.14772601275819058,0.7383503490316482
15,50,200,20,0.75,0.0,1,0.09572421154707803,0.9429510711419771
16,50,200,20,0.75,0.5,1,0.07186031914002139,0.8839916957058671
17,50,200,20,0.75,1.0,1,0.18484827810350918,0.6813668357671381
18,100,100,20,0.25,0.0,1,0.2363642192730552,0.8448674170173116
19,100,100,20,0.25,0.5,1,0.13911045258913254,0.820439113658422
20,100,100,20,0.25,1.0,1,0.1767139135829194,0.5997050659547044
21,100,100,20,0.5,0.0,1,0.13362362566780273,0.9464094277734106
22,100,100,20,0.5,0.5,1,0.10323115607571079,0.8666519917906405
23,100,100,20,0.5,1.0,1,0.15088158162666798,0.761273790804561
24,100,100,20,0.75,0.0,1,0.09142377373329434,0.9599923575084048
25,100,100,20,0.75,0.5,1,0.08806843379273119,0.9247162585741926
26,100,100,20,0.75,1.0,1,0.23573420816457763,0.7440782162570331
27,100,200,20,0.25,0.0,1,0.17270402733081502,0.8142968289376229
28,100,200,20,0.25,0.5,1,0.14331659073699016,0.8429866180766667
29,100,200,20,0.25,1.0,1,0.1143931479200517,0.6293116904956648
30,100,200,20,0.5,0.0,1,0.12922823702238598,0.9457474379956511
31,100,200,20,0.5,0.5,1,0.09552308470429564,0.9232093882166238
32,100,200,20,0.5,1.0,1,0.1619239143728234,0.6925051508273582
33,100,200,20,0.75,0.0,1,0.06950787653951437,0.9715080254278042
34,100,200,20,0.75,0.5,1,0.06209594146834261,0.9026341802206019
35,100,200,20,0.75,1.0,1,0.15372680214984005,0.7327075855952404
